,County,Population
190,California,39512223
191,Alameda County,1671329
192,Alpine County,1129
193,Amador County,39752
194,Butte County,219186
195,Calaveras County,45905
196,Colusa County,21547
197,Contra Costa County,1153526
198,Del Norte County,27812
199,El Dorado County,192843
200,Fresno County,999101
201,Glenn County,28393
202,Humboldt County,135558
203,Imperial County,181215
204,Inyo County,18039
205,Kern County,900202
206,Kings County,152940
207,Lake County,64386
208,Lassen County,30573
209,Los Angeles County,10039107
210,Madera County,157327
211,Marin County,258826
212,Mariposa County,17203
213,Mendocino County,86749
214,Merced County,277680
215,Modoc County,8841
216,Mono County,14444
217,Monterey County,434061
218,Napa County,137744
219,Nevada County,99755
220,Orange County,3175692
221,Placer County,398329
222,Plumas County,18807
223,Riverside County,2470546
224,Sacramento County,1552058
225,San Benito County,62808
226,San Bernardino County,2180085
227,San Diego County,3338330
228,San Francisco County,881549
229,San Joaquin County,762148
230,San Luis Obispo County,283111
231,San Mateo County,766573
232,Santa Barbara County,446499
233,Santa Clara County,1927852
234,Santa Cruz County,273213
235,Shasta County,180080
236,Sierra County,3005
237,Siskiyou County,43539
238,Solano County,447643
239,Sonoma County,494336
240,Stanislaus County,550660
241,Sutter County,96971
242,Tehama County,65084
243,Trinity County,12285
244,Tulare County,466195
245,Tuolumne County,54478
246,Ventura County,846006
247,Yolo County,220500
248,Yuba County,78668
